Siruta,Locality,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8
1017,ALBA  IULIA,60200000,884000,59700000,645000,904243,74400000,41600000,4661468,15200000,6560032,56700000,1690785,7512795
1213,AIUD,9109811,1979000,22400000,1447000,1095594,27000000,4236336,1105294,4492837,895294,24700000,942783,1971116
1348,BLAJ,11300000,1397000,20000000,838000,177126,21700000,6948335,1633615,4553000,519356,21100000,548451,8276418
1874,SEBES,22300000,374026,23500000,275000,1333861,26900000,6619941,1669478,4758695,1371951,25300000,3647734,3089501
1151,ABRUD,1859215,927000,5647308,698000,1015969,6589855,1940149,456848,1103987,161502,6533329,1657350,148037
2915,BAIA  DE  ARIES,805940,792000,3437446,583000,99325,4150264,736383,209143,1060303,405920,3030689,108668,478934
1455,CIMPENI,3677651,554000,12000000,404000,2185286,12600000,2803271,683859,2137335,139123,11800000,393077,435820
1696,CUGIR,15000000,605000,13500000,383000,1203614,16300000,7787673,1746965,3535480,1353948,14000000,1724991,5744286
1794,OCNA  MURES,3053078,2561000,8967819,1842000,547166,10200000,3236105,914576,2048893,567491,8224027,725184,1381350
8096,TEIUS,2892478,795000,3482668,601000,259642,4903826,3115685,440175,1618202,357283,3282171,3894,657898
1936,ZLATNA,1284326,1709000,4650018,3847890,17000000,6188271,2612562,659377,1611172,702699,3915920,196456,953444
2130,ALBAC,210295,803000,2510812,724500,40314,2824489,1193491,149146,815948,14123,2205260,0,246136
2309,ALMASU MARE,259349,413000,1047142,307000,7539,1449827,729662,86280,621548,39613,883418,0,125732
2381,ARIESENI,184768,505000,1493506,372000,11300000,1784795,722838,69683,3320376,0,1655090,0,21080
2577,AVRAM  IANCU,113606,522000,1235747,388000,155129,1584933,767843,160165,646024,10120,852170,0,118441
2988,BERGHIN,110345,609000,1036340,443000,62556,1298329,867650,209287,584340,4800,831714,408907,291215
3039,BISTRA,441862,1192000,3257227,874000,2844880,3704785,1326765,287406,1583925,40700,2639791,0,465776
3397,BLANDIANA,50494,353000,524422,269000,3363524,727844,466220,85990,530457,3872,680406,0,41240
9026,BUCERDEA GRANOASA,94895,663000,1311039,485000,7496,1307689,562307,304497,547497,6786,1524185,0,41382
3459,BUCIUM,103444,501000,1110391,369000,740436,1464986,759078,103546,704935,9351,773117,0,63397
3761,CENADE,63947,332000,678021,255000,127194,1001330,398036,49361,600779,7969,674035,2460,38668
3805,CERGAU,72728,488000,847018,357000,113721,1104707,654759,114071,512028,6074,651842,32498,671871
3841,CERU BACAINTI,19741,149000,382984,114000,54331,579107,164210,27590,333301,1173,339463,0,6448
3958,CETATEA  DE  BALTA,338069,725000,1845309,535000,980898,2323537,1260499,123667,1115812,204723,1478906,37250,70351
1071,CIUGUD,1209566,571000,1318430,389000,737819,1530034,1739800,317694,1572540,2348,1181610,0,1071604
4008,CIURULEASA,95521,421000,874320,312000,1117208,1176464,487544,30078,532926,107346,749474,0,64396
4106,CILNIC,141321,477000,1286134,352000,18063,1629859,560232,163350,734011,20935,1159612,0,43564
4142,CRICAU,161105,580000,1081155,419000,641489,1273761,696773,250255,750454,19922,958964,20310,81858
4188,CRACIUNELUL DE JOS,439599,444000,958867,324000,847627,1065060,684346,198105,1219641,2000,822362,28241,57145
9019,CUT,71733,363000,737433,270000,1380187,1054431,351081,36620,543276,4492,632603,0,58972
4240,DAIA  ROMANA,380554,732000,1562817,532000,920358,1709132,705023,224327,586104,0,1309495,0,334500
4268,DOSTAT,185062,247000,718223,186000,270498,985588,303659,68048,434750,0,705529,17894,53998
4302,FARAU,83519,577000,1077079,429000,39708,1450860,622510,77861,658937,3961,1000001,0,243314
4366,GALDA DE JOS,4135313,224000,2267695,166000,264337,2477049,1312856,381161,940479,55632,2643240,0,1848687
4482,GIRBOVA,510949,419000,1220910,306000,771626,1427066,638645,251663,635376,22629,2044240,18893,115888
4525,GIRDA DE SUS,231538,623000,1608580,460000,84989,1917699,623351,243349,805269,630,1178008,21547,43438
4703,HOPIRTA,50353,375000,829980,285000,501943,1031576,1024414,108397,596318,2784,927747,31318,273877
4767,HOREA,171942,648000,1958593,474000,3770100,2305585,887595,113039,788857,0,1581819,0,72373
4927,IGHIU,751892,1623000,3546997,1175000,1848620,4175623,2069210,481331,1669571,30955,3206103,111712,1135629
4981,INTREGALDE,49958,306000,440434,225000,2677,708263,276753,20842,426166,2400,419594,0,406877
5103,JIDVEI,2629644,614000,4162487,465000,14424,4434944,4212313,494650,2019680,61474,3569171,21188,437702
5167,LIVEZILE,89112,377000,646660,280000,319049,973800,713460,76468,785681,2541,617996,0,386096
5210,LOPADEA NOUA,251591,749000,1547367,547000,15351,1650262,1151504,255474,821390,1700,1471768,0,156187
5309,LUNCA  MURES,175051,657000,1529984,483000,2606705,1873389,991882,79222,830665,2941,1444196,21308,115167
5336,LUPSA,1151251,352000,1909958,250000,2011185,2417110,953909,216162,867433,41055,1540560,21558,128983
5577,METES,114783,845000,1123495,620000,440206,1220744,697075,287951,572819,125,928826,0,447629
5700,MIHALT,119040,1013000,1450921,737000,1355132,1598255,709008,369892,804032,11587,1245818,3218,234496
5755,MIRASLAU,216367,613000,1075513,486330,109519,1399975,1363007,123242,703682,94601,949204,0,103738
5826,MOGOS,45952,307000,589400,229000,219422,888879,580062,44980,472314,0,524455,1500,69978
6048,NOSLAC,134074,558000,835468,455000,20337,1289105,706127,124009,957634,0,799909,0,182722
6119,OCOLIS,90043,272000,507122,205000,1036765,897409,240267,22417,529328,0,399069,0,34928
6164,OHABA,80404,315000,461097,233000,1622,683562,845247,50101,620632,0,476022,10000,394315
6217,PIANU,369374,835000,1995925,610000,321147,2294146,1582847,284029,1118864,0,2063802,19219,79047
