Id,Country,StartProcedure,TaxPay,TimeRequired,TimeToPrepare,TotalTaxRate,Revenue,ForeignInvest,High-techExport
1,Algeria,13,27,24,451,73,5.90E+12,-2037312385,2407114
2,Antigua and Barbuda,8,57,21,207,41,596300000,-65160596,0
3,Armenia,3,34,8,498,39,8.59E+11,-437333959,5737622
4,Australia,3,11,3,109,47,3.21E+11,-55460750262,4859392142
5,Austria,8,12,25,170,51,1.09E+11,15145339304,15705949135
6,Azerbaijan,6,18,8,225,40,23687600000,-932582000,8042867
7,"Bahamas, The",7,19,24,58,45,1432104000,-666621000,0
8,Bahrain,7,13,9,60,14,2719139919,112765957,1619723
9,Belarus,6,18,10,654,62,8.62E+13,-3876900000,510644600
10,Belgium,3,11,4,156,58,1.52E+11,-31908772417,34680646884
11,Bulgaria,4,15,18,470,27,22144610000,-1638723488,1015453449
12,Cabo Verde,8,31,11,186,38,32956713189,-100816373,63455
13,Cambodia,10,39,102,173,23,6.02E+12,-766295467,5139291
14,Canada,2,8,6,131,21,3.00E+11,11774674034,25017006457
15,Chile,7,7,8,316,25,2.75E+13,-3191966837,507261557
16,Colombia,8,10,10,193,76,1.45E+14,-6227929889,400794305
17,Costa Rica,12,31,60,246,58,5.04E+12,-2216428666,2511568834
18,Cote d'Ivoire,10,63,32,270,50,1.50E+12,-286305594,155140853
19,Croatia,7,30,15,196,21,1.10E+11,-1483673003,672543092
20,Cyprus,6,29,8,149,22,6972900000,-85714314,101643077
21,Czech Republic,8,8,16,557,50,1.12E+12,-2592551186,23365827816
22,Denmark,4,10,6,135,26,7.26E+11,-760896206,9318396364
23,Dominican Republic,7,7,15,324,41,3.04E+11,-2276700000,90873749
24,"Egypt, Arab Rep.",7,29,8,433,44,3.01E+11,1108200000,128064020
25,El Salvador,8,53,17,320,35,4711568317,-218429106,200590617
26,Estonia,5,8,7,81,58,5312700000,-1810309988,1539406627
27,Ethiopia,11,30,20,198,30,56022384000,-626509560,5201037
28,Finland,3,8,14,93,39,72389000000,2455779020,5357724865
29,France,5,8,7,132,66,8.52E+11,20268741865,1.05E+11
30,Georgia,2,5,2,387,17,6125700000,-901617092,10871872
31,Germany,9,12,15,221,46,7.56E+11,10348464185,1.83E+11
32,Ghana,7,34,11,224,33,11587446125,-3196890000,23116796
33,Greece,11,8,11,224,46,85685000000,725321022,1170865710
34,Guatemala,12,21,37,344,41,42292629971,-1008906215,176575043
