Id,Country,POP,PIB,CHS_PUB,CHS_PRIV,RM,RN,SPV
1,Austria,8479375,50557.8,8.36,2.68,9.4,9.4,80.89
2,Belgium,11182817,46625.32,8.48,2.71,9.8,11.2,80.39
3,Australia,23125868,67627.77,6.28,3.15,6.3,13.2,82.2
4,Bulgaria,7265115,7656.64,4.52,3.11,14.4,9.2,74.47
5,Canada,35158304,52305.26,7.58,3.28,7.2,10.9,81.4
6,China,1357380000,6991.85,3.11,2.46,7.2,12.1,75.35
7,Croatia,4255689,13574.98,5.84,1.46,11.8,9.4,77.13
8,Denmark,5614932,59818.63,9.07,1.56,9.3,10,80.3
9,Greece,11027549,21719.23,6.83,2.99,10.2,8.5,80.63
10,France,65925498,42627.65,9.04,2.62,8.7,12.3,81.97
11,Germany,80645605,46441.68,8.68,2.62,11.1,8.5,81.04
12,Hungary,9893082,13585.43,5.12,2.93,12.8,9.2,75.27
13,Ireland,4598294,51814.86,6.04,2.88,6.5,15,81.04
14,Israel,8059500,36281.2,4.28,2.96,5.1,21.3,82.06
15,India,1279498874,1455.1,1.28,2.69,7.39,20.29,67.66
16,Moldova,3558566,2243.98,5.43,6.37,14.11,12.14,68.81
17,Norway,5079623,102832.26,8.18,1.39,8.1,11.6,81.45
18,Poland,38040196,13776.45,4.64,2.03,10.1,9.6,76.85
19,Romania,19983693,9587.18,4.26,1.08,12.4,8.8,74.46
20,Spain,46620045,29370.66,6.25,2.63,8.3,9.1,82.43
21,Turkey,75010202,10975.07,4.33,1.26,5.7,16.84,75.18
22,Sweden,9600379,60283.25,7.91,1.8,9.4,11.8,81.7
23,Brazil,204259377,11711,4.66,5.01,6.07,14.93,74.12
24,Thailand,67451422,6229.17,3.66,0.91,7.77,11.04,74.25
25,Swaziland,1250641,3648.07,6.3,2.14,14.29,30.09,48.94
26,Ukraine,45489600,4029.72,4.23,3.54,14.6,11.1,71.16
27,United States,316497531,52980.04,8.05,9.05,8.2,12.5,78.84
28,Vietnam,89708900,1908.64,2.49,3.46,5.71,15.54,75.76
29,Switzerland,8089346,84669.29,7.57,3.9,8,10.2,82.75
30,Mexico,123740109,10172.72,3.23,3.01,4.76,19.1,76.53
31,Italy,60233948,35420.88,7.09,2,10,8.5,82.29
32,Iraq,33781385,6882.41,3.31,1.91,5.17,31.09,69.47
33,Japan,127338621,38633.71,8.45,1.85,10.1,8.2,83.33
34,Tunisia,10886500,4309.99,4.2,2.88,6.3,19.8,73.65
35,Serbia,7164132,6353.83,6.41,4.19,14,9.2,75.14
